soc,readiness,distance,title,employment,wage,wage_gain,wage_gain_pct
21-1094,53.86682182514841,1.197219667044797,Community Health Workers,61660,51850.0,11340.0,21.870781099324976
21-2011,40.48856143279818,1.544403994815635,Clergy,57200,60810.0,2380.0,3.9138299621772736
21-2021,45.40132893513997,1.4169108953562874,"Directors, Religious Activities and Education",22160,52100.0,11090.0,21.28598848368522
23-1011,38.33866650169044,1.6001967365133052,Lawyers,754500,159670.0,-96480.0,-60.424625790693305
23-1012,24.17599095417968,1.9677377205571358,Judicial Law Clerks,13290,64920.0,-1730.0,-2.664818237831177
23-1021,31.05851426350148,1.7891267383788891,"Administrative Law Judges, Adjudicators, and Hearing Officers",16370,117860.0,-54670.0,-46.3855421686747
23-1022,32.33664070498888,1.7559575925871334,"Arbitrators, Mediators, and Conciliators",9210,75530.0,-12340.0,-16.3378789884814
23-1023,33.777134250822726,1.7185747962667295,"Judges, Magistrate Judges, and Magistrates",24030,153990.0,-90800.0,-58.964867848561596
23-2011,32.9558891234022,1.7398872411688788,Paralegals and Legal Assistants,392880,62890.0,300.0,0.47702337414533313
23-2093,34.051131355583955,1.711464193106241,"Title Examiners, Abstractors, and Searchers",48580,58650.0,4540.0,7.7408354646206305
25-1011,37.96582220434136,1.6098725607940427,"Business Teachers, Postsecondary",82150,99080.0,-35890.0,-36.22325393621316
25-1021,47.32666030296505,1.3669458881677088,"Computer Science Teachers, Postsecondary",35480,96980.0,-33790.0,-34.8422355124768
25-1022,34.89238776492725,1.6896324278097778,"Mathematical Science Teachers, Postsecondary",47670,79940.0,-16750.0,-20.953214911183387
25-1031,52.43199523264638,1.234455398102206,"Architecture Teachers, Postsecondary",7700,96870.0,-33680.0,-34.76824610302467
25-1032,50.29860186613986,1.2898199014157201,"Engineering Teachers, Postsecondary",40270,109270.0,-46080.0,-42.17076965315274
25-1041,52.47865682021619,1.2332444654818178,"Agricultural Sciences Teachers, Postsecondary",8920,98700.0,-35510.0,-35.977710233029384
25-1042,48.74348110808619,1.3301774321523818,"Biological Science Teachers, Postsecondary",50190,84620.0,-21430.0,-25.32498227369416
25-1043,49.24358251605172,1.3171991101546248,"Forestry and Conservation Science Teachers, Postsecondary",1520,101420.0,-38230.0,-37.694734766318284
25-1051,45.39489869811322,1.4170777688849876,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",9900,103170.0,-39980.0,-38.75157507027237
25-1052,50.57638177521855,1.282611129260495,"Chemistry Teachers, Postsecondary",19980,93250.0,-30060.0,-32.23592493297587
25-1053,45.97765588333929,1.401954415349275,"Environmental Science Teachers, Postsecondary",6690,94980.0,-31790.0,-33.47020425352706
25-1054,54.31455821789506,1.1856002894893136,"Physics Teachers, Postsecondary",13090,100310.0,-37120.0,-37.00528362077559
25-1061,44.08382108963478,1.451102042953929,"Anthropology and Archeology Teachers, Postsecondary",5240,99650.0,-36460.0,-36.588058203713
25-1062,33.92734559911618,1.7146766043904051,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",11300,85020.0,-21830.0,-25.67631145612797
25-1063,37.29835916985353,1.6271941480665588,"Economics Teachers, Postsecondary",11560,123920.0,-60730.0,-49.00742414460942
25-1064,39.783695927498655,1.56269622784514,"Geography Teachers, Postsecondary",3330,97590.0,-34400.0,-35.249513269802236
25-1065,31.32442945090592,1.7822258721320445,"Political Science Teachers, Postsecondary",16970,98070.0,-34880.0,-35.566432140307946
25-1066,36.31385682917821,1.65274334305245,"Psychology Teachers, Postsecondary",41530,80340.0,-17150.0,-21.346776201145133
